Feature ID,Area,User story,Expected behavior,Status,Verification evidence,Open issue
SPLIT-03,Split management,"As a user, I can clone, edit, delete, export, and import exercise splits.","Operations preserve ordering, validate imported data, and scope data to my account.",Verified,"Full Playwright suite passed 73/73; split model and export coverage passed.",""
MESO-01,Mesocycle creation,"As a user, I can create a mesocycle from an exercise split.","Wizard requires basic settings, a split, valid volume inputs for active muscle groups, and then saves the mesocycle.",Verified,"Focused Playwright creation test passed with session-capable database connection and adaptive volume fixture.",""
MESO-02,Mesocycle lifecycle,"As a user, I can edit, start, stop, delete, and complete a mesocycle.","Lifecycle actions preserve ownership, update active state, and retain historical data.",Verified,"Full Playwright suite passed 73/73; all 8 mesocycle model cases passed.",""
MESO-03,Mesocycle split,"As a user, I can edit or extract a mesocycle's exercise split before workouts lock structural changes.","Exercise edits persist; structural changes are disallowed after workouts are added; extraction creates a standalone split.",Verified,"Full Playwright suite passed 73/73; split edit, lock, and extraction cases passed.",""
MESO-04,Progression,"As a user, I can choose reps-first or load-first progression and configure RIR, adaptive ranges, and set changes.","Preferences are inherited correctly and progression stays within valid rep/load bounds.",Verified,"Progression, adaptive-range, and preference unit tests passed.",""
DELOAD-01,Manual deload,"As a user, I can deload an exercise or muscle group without corrupting normal progression.","Deload targets are halved correctly, exclusions remain monotonic after completed sets, and comparison excludes deloads.",Verified,"Full Playwright suite passed 73/73; all 8 manual-deload cases and related unit cases passed.",""
STATS-01,Exercise statistics,"As a user, I can browse exercise performance cards and complete progression chart history.","Cards paginate independently from chart history and chart filters preserve data integrity.",Verified,"Full Playwright suite passed 73/73; all 12 exercise-statistics cases passed.",""
STATS-02,Historical muscle groups,"As a user, I can correct a historical exercise muscle group.","Exact-name history is updated only for my account; built-in and custom values are validated.",Verified,"Exercise muscle-group unit coverage passed and no first-pass failure artifact targets this path.",""
EXPORT-01,Data export,"As a user, I can download owner-only JSON and CSV backups.","Exports are authenticated, include completed data, use safe CSV escaping, and neutralize formula injection.",Verified,"Data export unit tests passed; endpoint browser coverage has no first-pass failure artifact.",""
PROFILE-01,Profile,"As a user, I can view profile activity and run supported data migration.","Profile is authenticated, displays activity, and migration reports success or errors.",Needs verification,"Route implementation inspected; no dedicated browser story.","Add authenticated profile user-story coverage."
SETTINGS-01,Settings,"As a user, I can manage notifications, quotes, and data export preferences.","Settings updates persist, notification permission/errors are visible, and downloads are available.",Needs verification,"Route implementation inspected; no dedicated browser story.","Add settings user-story coverage."
PWA-01,Offline and updates,"As a returning user, I can recover from a failed update and continue with drafts intact.","PWA update flow detects broken stylesheets, activates a waiting worker, and preserves draft storage.",Verified,"PWA recovery/update unit tests passed.",""
MOBILE-01,Mobile layout,"As a mobile user, I can use a fixed navigation bar and scroll only the workout exercise area.","Navigation remains visible, outer workout frame is fixed, and safe-area spacing avoids clipped actions.",Verified,"Full Playwright suite passed 73/73, including dashboard and workout-start mobile geometry.",""
SECURITY-01,Authorization,"As a user, I cannot read, modify, export, or delete another user's workouts or data.","All server operations are account-scoped and reject anonymous or cross-user requests.",Verified,"Workout edit security, dashboard auth, and export unit/browser coverage passed in available baseline.",""
